-17,150,0
-15,152,0
-15,153,0
-16,153,0
-16,153,0
-17,152,0
-19,152,0
-19,152,0
-18,152,0
-19,152,0
-18,152,0
-19,152,0
-19,153,0
-19,153,0
-19,152,0
-19,153,0
-19,153,0
-20,153,0
-21,153,0
-20,153,0
-21,153,0
-21,152,0
-21,151,0
-20,150,0
-19,150,0
-18,150,0
-19,149,0
-19,148,0
-19,147,0
-20,148,0
-21,147,0
-20,147,0
-20,147,0
-20,147,0
-19,146,0
-21,146,0
-20,146,0
-20,146,0
-19,146,0
-19,146,0
-20,147,0
-19,146,0
-21,147,0
-20,147,0
-20,147,0
-20,148,0
-21,148,0
-20,149,0
-19,150,0
-19,151,0
-19,152,0
-20,151,0
-19,153,0
-19,153,0
-18,154,0
-17,153,0
-16,153,0
-15,154,0
-15,153,0
-15,154,0
-15,153,0
-15,154,0
-15,154,0
-14,155,0
-13,155,0
-12,155,0
-11,155,0
-12,155,0
-12,155,0
-11,156,0
-11,157,0
-10,157,0
-9,158,0
-9,159,0
-7,159,0
-8,159,0
-8,159,0
-7,159,0
-7,159,0
-7,159,0
-7,160,0
-6,160,0
-7,160,0
-6,160,0
-5,161,0
-5,162,0
-5,162,0
-4,162,0
-3,162,0
-2,163,0
-3,164,0
-2,164,0
-2,164,0
-2,165,0
-1,166,0
0,166,0
0,167,0
0,168,0
1,168,0
1,170,0
2,170,0
3,171,0
4,172,0
5,173,0
7,174,0
8,175,0
9,176,0
9,177,0
11,177,0
11,177,0
12,178,0
12,178,0
14,177,0
15,178,0
17,178,0
20,179,0
23,179,0
27,180,0
30,179,0
33,179,0
36,180,0
38,180,0
39,180,0
41,179,0
42,179,0
42,179,0
42,178,0
42,178,0
42,178,0
43,177,0
44,178,0
46,177,0
46,177,0
46,177,0
47,177,0
48,177,0
47,177,0
47,177,0
47,177,0
47,177,0
46,177,0
47,176,0
46,177,0
46,177,0
46,177,0
46,177,0
46,178,0
47,179,0
47,179,0
47,180,0
47,182,0
47,183,0
46,184,0
46,185,0
47,186,0
47,187,0
48,189,0
49,190,0
48,193,0
48,195,0
50,197,0
50,198,0
51,199,0
54,200,0
55,201,0
55,201,0
56,202,0
57,203,0
59,204,0
60,204,0
61,205,0
62,206,0
63,207,0
64,207,0
64,207,0
65,208,0
66,209,0
66,209,0
67,210,0
68,210,0
69,210,0
70,211,0
72,212,0
75,213,0
79,214,0
83,215,0
86,216,0
90,216,0
93,216,0
96,217,0
99,217,0
101,217,0
103,216,0
105,216,0
107,217,0
108,217,0
107,217,0
107,216,0
108,216,0
109,215,0
109,216,0
111,215,0
110,216,0
109,215,0
110,215,0
110,215,0
109,216,0
110,216,0
110,216,0
111,216,0
110,216,0
111,216,0
111,216,0
111,216,0
111,216,0
111,216,0
110,217,0
109,218,0
108,219,0
108,221,0
106,222,0
105,223,0
103,225,0
101,226,0
98,227,0
96,228,0
94,229,0
92,230,0
91,231,0
89,232,0
89,232,0
88,232,0
87,233,0
86,233,0
85,234,0
84,234,0
83,234,0
80,235,0
78,236,0
75,237,0
73,237,0
71,238,0
69,238,0
68,239,0
66,239,0
64,239,0
62,240,0
60,240,0
58,240,0
56,240,0
54,241,0
53,241,0
51,241,0
50,241,0
48,242,0
46,242,0
